SPECIES,SOURCE,X,Y,DEF,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019
sm,USA,1650000,340000,9,0,0,0,2,-1,-1,0,208,134,-169,-53,-105,-15,0,0,0,0,16,-14,-2,0,0
sm,USA,1650000,315000,12,0,0,24,13,-37,0,0,36,169,235,-195,-220,-25,0,0,1,1,191,-175,-8,-10,0
sm,USA,1650000,290000,8,0,0,0,12,-12,0,0,0,0,12,21,-28,-5,0,0,1,-1,82,-75,3,-10,0
sm,USA,1650000,265000,6,0,0,0,0,0,0,0,0,0,0,4,-1,-3,0,0,0,0,8,-1,-5,-1,-1
sm,USA,1650000,240000,4,0,0,4,-4,0,0,0,0,0,0,1,0,-1,0,0,0,0,3,-3,0,0,0
sm,USA,1650000,140000,5,2,-2,4,-2,-1,-1,1,-1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
sm,USA,1650000,115000,3,0,0,0,0,12,-12,2,-1,-1,0,0,0,0,0,0,0,0,0,0,0,0,0
sm,USA,1675000,415000,3,0,0,2,-1,-1,0,0,0,0,0,0,0,0,0,0,0,0,28,-28,0,0,0
sm,USA,1675000,390000,4,0,0,29,-29,0,0,0,0,35,-35,4,-4,0,0,0,0,0,62,-62,0,0,0
sm,USA,1675000,365000,4,0,0,0,0,0,0,0,0,0,8,174,-159,-23,0,0,0,0,8,-8,0,0,0
sm,USA,1675000,340000,11,0,0,4,15,-19,0,0,14,92,54,67,-216,-10,-1,0,0,0,135,-133,3,-5,0
sm,USA,1675000,315000,12,0,0,104,3,-107,0,3,-3,20,15,95,-105,-25,0,0,0,1,191,-189,-2,-1,1
sm,USA,1675000,290000,8,0,0,2,5,-7,0,0,1,-1,0,0,7,-6,-1,0,0,0,67,-65,-1,-1,0
sm,USA,1675000,265000,6,0,0,0,0,0,0,0,2,-2,0,8,-5,-3,0,0,0,0,7,-6,-1,1,-1
sm,USA,1675000,240000,8,0,0,0,0,0,0,0,0,1,1,0,6,-8,0,0,0,0,2,-2,1,0,2
sm,USA,1675000,165000,5,0,0,0,0,107,-107,0,0,0,1,-1,0,0,0,0,1,-1,1,0,-1,0,0
sm,USA,1675000,140000,8,0,0,0,0,0,0,0,1,0,11,-4,-7,-1,0,0,0,0,1,0,-1,1,-1
sm,USA,1675000,115000,6,0,0,0,0,9,-9,1,-1,3,18,-15,21,-27,0,0,0,0,0,0,0,0,0
sm,USA,1700000,415000,4,0,0,16,-7,-9,0,0,0,0,0,1,-1,0,0,0,0,0,16,-16,0,0,0
sm,USA,1700000,365000,4,0,0,0,0,0,0,0,0,0,5,17,-11,-11,0,0,0,0,9,-9,0,0,0
sm,USA,1700000,340000,11,0,0,46,70,-65,-51,0,1,-1,0,7,-7,0,0,0,0,2,285,-286,17,-10,-7
sm,USA,1700000,315000,13,0,0,196,1,-129,-68,2,-2,0,1,1,11,-13,0,0,5,-5,335,-328,-1,2,-7
sm,USA,1700000,290000,4,0,0,0,0,0,0,0,0,0,2,-1,3,-4,0,0,0,0,9,-9,0,0,0
sm,USA,1700000,265000,5,0,0,0,0,0,0,0,0,0,0,14,-7,-7,0,0,1,-1,12,-12,1,-1,0
sm,USA,1700000,240000,9,0,0,0,0,0,0,2,-1,3,3,-4,7,-10,0,0,1,-1,3,-3,1,-1,0
sm,USA,1700000,215000,3,0,0,0,0,0,0,1,-1,0,1,-1,4,-4,0,0,0,0,0,0,0,0,0
sm,USA,1700000,190000,9,0,0,0,6,-6,0,1,18,14,95,-28,-78,-22,0,0,0,0,2,-2,0,1,-1
sm,USA,1700000,165000,10,0,0,4,2,-6,0,5,0,17,118,-53,-65,-22,0,0,0,0,2,-2,3,-3,0
sm,USA,1700000,140000,9,0,0,0,4,-3,-1,2,0,1,27,7,-20,-17,0,0,0,0,4,-4,0,0,0
sm,USA,1700000,115000,7,-4,0,0,0,0,0,0,0,12,25,-32,24,-27,-2,0,0,0,2,-2,0,0,0
