SPECIES,SOURCE,X,Y,DEF,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020
tcbw,CA,-1678963.8779,2055940.4511,3,0,0,0,197,-197,0,0,0,0,0,0,22,-22,0,0,0,0,220,-220,0,0
tcbw,CA,-1878963.8779,2080940.4511,7,0,0,0,0,0,0,0,77,-77,52,-52,87,-87,0,0,109,-104,644,-637,-12,0
tcbw,CA,-1853963.8779,2080940.4511,4,0,0,0,0,0,0,0,0,0,811,-811,776,-776,0,0,36,-36,633,-633,0,0
tcbw,CA,-1828963.8779,2080940.4511,6,-566,168,-168,220,-220,0,0,0,0,1948,-1948,559,-559,0,0,17,-17,0,0,0,0
tcbw,CA,-1803963.8779,2080940.4511,4,-891,285,-285,752,-752,0,0,0,0,878,-878,0,0,0,0,0,0,0,0,0,0
tcbw,CA,-1778963.8779,2080940.4511,6,89,-295,-693,565,-565,80,-80,0,0,594,-594,0,0,0,0,0,0,0,0,0,0
tcbw,CA,-1753963.8779,2080940.4511,4,-646,-178,-33,0,0,0,0,0,0,0,0,20,-20,0,0,0,0,0,0,0,0
tcbw,CA,-1703963.8779,2080940.4511,3,-6,0,0,0,0,0,0,0,0,0,0,5,-5,0,0,0,0,7,-7,0,0
tcbw,CA,-1878963.8779,2105940.4511,8,0,0,0,0,0,0,24,-24,0,405,-353,626,-670,-8,0,243,-243,435,-317,-118,0
tcbw,CA,-1853963.8779,2105940.4511,6,0,0,0,0,0,0,0,0,0,66,-66,908,-908,0,0,78,-78,477,-264,-213,23
tcbw,CA,-1828963.8779,2105940.4511,9,-6,-88,0,51,-51,0,0,0,0,1875,-1780,1488,-1582,-1,0,9,-9,13,-13,0,0
tcbw,CA,-1803963.8779,2105940.4511,7,-417,-118,-180,213,-213,97,-97,0,0,1074,-1074,12,-12,0,0,0,0,0,0,0,0
tcbw,CA,-1778963.8779,2105940.4511,7,-346,-112,-505,403,-403,39,-39,6,-6,540,-540,0,0,0,0,0,0,0,0,0,0
tcbw,CA,-1878963.8779,2130940.4511,4,0,0,0,0,0,0,139,-139,0,281,-281,0,0,0,0,0,0,24,56,-80,0
tcbw,CA,-1853963.8779,2130940.4511,5,0,0,0,0,0,0,0,0,0,0,0,6,-6,0,0,459,-459,1226,-652,-574,1
tcbw,CA,-1828963.8779,2130940.4511,7,119,-615,-219,0,0,0,0,0,0,788,-788,622,-622,0,0,0,0,272,-271,-1,0
tcbw,CA,-1803963.8779,2130940.4511,5,143,-888,-36,0,0,0,0,0,0,165,-165,4,-4,0,0,0,0,0,0,0,0
tcbw,CA,-1778963.8779,2130940.4511,4,-244,-616,-10,0,0,0,0,0,0,84,-84,0,0,0,0,0,0,0,0,0,0
tcbw,CA,-1853963.8779,2155940.4511,4,0,0,0,0,0,0,0,0,0,99,-99,0,0,0,0,112,-112,753,-741,-12,0
